name,age,overall,potential,diff,hh
Bashkim Ajdini,28,67,67,0,muture
Hotaru Yamaguchi,30,70,70,0,muture
Jon Nolan,29,62,62,0,muture
John Narváez,29,63,63,0,muture
Daler Kuzyaev,28,76,76,0,muture
José Luís Moreno Barroso,30,67,67,0,muture
Joffrey Cuffaut,33,70,70,0,muture
Ilie Sánchez Farres,30,74,74,0,muture
Miquel Nelom,30,64,64,0,muture
Jesús Sánchez,31,71,71,0,muture
André Filipe Brás André,31,74,74,0,muture
Josué Filipe Soares Pesqueira,30,71,71,0,muture
Marvin Potzmann,27,68,68,0,muture
Luca Caldirola,30,71,71,0,muture
Pavao Pervan,33,74,74,0,muture
Juan Ezequiel Cuevas,33,73,73,0,muture
Danilo Sousa Campos,31,66,66,0,muture
Eduardo García Martín,31,63,63,0,muture
Lukas Hinterseer,30,68,68,0,muture
Maurice Trapp,29,66,66,0,muture
Nick Marsman,30,70,70,0,muture
Carl Piergianni,29,63,63,0,muture
Loris Néry,30,67,67,0,muture
José Carlos Coentrão Marafona,34,70,70,0,muture
Jimmy Keohane,30,63,63,0,muture
Ali Crawford,29,63,63,0,muture
Jamie Reckord,29,61,61,0,muture
Florent Ogier,32,71,71,0,muture
Marco Đuričin,28,68,68,0,muture
Lorenzo Tonelli,31,73,73,0,muture
Timo Kern,31,64,64,0,muture
Alejandro Pérez Navarro,29,66,66,0,muture
Ladislav Krejčí,28,72,72,0,muture
Manuel Antonio Molina Valero,29,67,67,0,muture
Ryder Matos Santos Pinto,27,69,69,0,muture
Daniel Lafferty,32,61,61,0,muture
Pierre Sagna,30,67,67,0,muture
Joe Bendik,32,63,63,0,muture
Dario Tadić,31,67,67,0,muture
Cristiano Piccini,28,74,74,0,muture
Ethan Ebanks-Landell,28,65,65,0,muture
Simon Thern,28,67,67,0,muture
Roberto Lopes,29,65,65,0,muture
Jonatan Kotzke,31,62,62,0,muture
Markus Pink,30,67,67,0,muture
Chris Mavinga,30,70,70,0,muture
Frank Nouble,29,59,59,0,muture
Tom Lees,30,70,70,0,muture
Aaron Wildig,29,63,63,0,muture
David Blacha,30,67,67,0,muture
Jordan Cook,31,57,57,0,muture
Ertuğrul Taşkıran,31,69,69,0,muture
Tom Flanagan,29,66,66,0,muture
Radosav Petrović,32,71,71,0,muture
Miloš Ninković,36,72,72,0,muture
Javier López Rodríguez,35,71,71,0,muture
Moisés Lima Magalhães,33,73,73,0,muture
Luis Alberto Ramírez,36,68,68,0,muture
Írven Ávila,30,67,67,0,muture
Bilel Ifa,31,70,70,0,muture
Benjamin Leroy,32,71,71,0,muture
Alejandro Arribas Garrido,32,70,70,0,muture
Kwesi Appiah,30,63,63,0,muture
Ryan Bowman,29,63,63,0,muture
Pascal Testroet,30,71,71,0,muture
Yann-Erik de Lanlay,29,67,67,0,muture
Caio Canedo Corrêa,30,72,72,0,muture
Celso Ortiz,32,76,76,0,muture
Antonino Ragusa,31,70,70,0,muture
Bart Schenkeveld,29,71,71,0,muture
Raúl García Carnero,32,69,69,0,muture
Mirlan Murzaev,31,65,65,0,muture
Tomás Pina Isla,33,76,76,0,muture
Johan Larsson,31,73,73,0,muture
Alberto Guitián Ceballos,30,71,71,0,muture
James McClean,32,69,69,0,muture
Bjørn Paulsen,29,67,67,0,muture
Christopher Missilou,28,61,61,0,muture
Sergio León Limones,32,73,73,0,muture
Richárd Magyar,30,66,66,0,muture
Andy Halliday,29,66,66,0,muture
Luke Brattan,31,68,68,0,muture
Chul Hong,30,71,71,0,muture
Matías Aguirregaray,32,70,70,0,muture
Yoann Court,31,72,72,0,muture
Maikel Kieftenbeld,31,68,68,0,muture
Aridai Cabrera Suárez,32,70,70,0,muture
Warren Burrell,31,62,62,0,muture
Milan Rundić,29,65,65,0,muture
Alejandro Cabrera,28,65,65,0,muture
Gime Touré,27,60,60,0,muture
Jandrei Chitolina Carniel,27,72,72,0,muture
Riku Matsuda,29,69,69,0,muture
Alexandre Garcia Guedes,27,65,65,0,muture
Pedro Miguel Cunha Sá,27,72,72,0,muture
Jadson Silva de Morais,29,69,69,0,muture
Žan Majer,28,67,67,0,muture
Vito Hammershøy-Mistrati,29,69,69,0,muture
Nuno Filipe da Silva,27,60,60,0,muture
Saidt Mustafá,31,63,63,0,muture
Luis Alí,27,67,67,0,muture
Rafael García,26,64,64,0,muture
Benjamin Santelli,29,67,67,0,muture
Jakub Holúbek,30,66,66,0,muture
Andrija Luković,26,66,66,0,muture
Taoyu Piao,28,56,56,0,muture
Vadim Rață,28,66,66,0,muture
Ezequiel Piovi,28,73,73,0,muture
Karam Barnawi,34,60,60,0,muture
Manuel Balda,29,67,67,0,muture
Dino Štiglec,30,66,66,0,muture
Edinson Chávez,27,65,65,0,muture
Pedro Perlaza,30,68,68,0,muture
Robert Hernández,27,69,69,0,muture
Romario Caicedo,31,68,68,0,muture
Marc-Francois Enoumba,28,69,69,0,muture
Jun Ichimori,29,64,64,0,muture
Michael Langer,36,66,66,0,muture
Jesper Hansen,36,72,72,0,muture
Kevin Stuhr-Ellegaard,38,64,64,0,muture
Alex Baptiste,35,61,61,0,muture
Aitor Sanz Martín,36,70,70,0,muture
Muhammet Demir,29,72,72,0,muture
Oscar Wendt,35,71,71,0,muture
Cristian Molinaro,37,67,67,0,muture
Alexander Tettey,35,69,69,0,muture
Yuriy Zhirkov,37,76,76,0,muture
Rasmus Lindgren,36,66,66,0,muture
Jorge Valdivia,37,69,69,0,muture
Craig Bryson,34,65,65,0,muture
Tom Eaves,29,66,66,0,muture
Mehdi Bourabia,29,68,68,0,muture
Simone Romagnoli,31,73,73,0,muture
Jonathan Mensah,30,72,72,0,muture
Alexander Domínguez,34,72,72,0,muture
Tomáš Holý,29,63,63,0,muture
Lindsay Rose,29,65,65,0,muture
Numa Lavanchy,27,72,72,0,muture
Nicolas Höfler,31,74,74,0,muture
Jason Lowe,29,64,64,0,muture
Tendayi Darikwa,29,67,67,0,muture
Adama Soumaoro,29,74,74,0,muture
Pedro Filipe Teodósio Mendes,30,74,74,0,muture
Ryan Leonard,29,70,70,0,muture
Curtis Nelson,28,69,69,0,muture
Nicolas De Préville,30,72,72,0,muture
Milan Badelj,32,73,73,0,muture
Federico Santander,30,69,69,0,muture
Hannes Van Der Bruggen,28,70,70,0,muture
Sebastian Lletget,28,71,71,0,muture
Ermin Bičakčić,31,74,74,0,muture
Veton Berisha,27,73,73,0,muture
Kevin Kraus,28,65,65,0,muture
Nicolas Benezet,30,71,71,0,muture
Ola John,29,71,71,0,muture
Akaki Gogia,29,69,69,0,muture
Simon Zoller,30,73,73,0,muture
Abdoulay Diaby,29,73,73,0,muture
Florian Hartherz,28,67,67,0,muture
Alexander Milošević,29,71,71,0,muture
Matt Crooks,27,71,71,0,muture
Ke Li,28,69,69,0,muture
Wellington S. Sánchez Aguiar,29,70,70,0,muture
Derrick Williams,28,69,69,0,muture
Sammy Ameobi,29,70,70,0,muture
Jan Bořil,30,73,73,0,muture
Craig Forsyth,32,68,68,0,muture
Emrah Başsan,29,70,70,0,muture
Diogo José Figueiras,30,70,70,0,muture
Michael Smith,32,68,68,0,muture
Pablo Hervías Ruiz,28,70,70,0,muture
Ricardo Álvarez,33,72,72,0,muture
Alonso Escoboza,28,68,68,0,muture
Billel Omrani,27,69,69,0,muture
Iván Piris,32,75,75,0,muture
Sebastián Rodríguez,28,72,72,0,muture
Harry Bunn,28,60,60,0,muture
Zlatko Tripić,28,71,71,0,muture
Andrés D'Alessandro,40,73,73,0,muture
Lisandro López,38,73,73,0,muture
Alex Cordaz,38,72,72,0,muture
John Ruddy,34,70,70,0,muture
Danilo Larangeira,37,72,72,0,muture
Luke Freeman,29,70,70,0,muture
Danny Simpson,34,67,67,0,muture
Jack Cork,32,75,75,0,muture
Diego Valeri,35,72,72,0,muture
Adrián López Álvarez,33,74,74,0,muture
Sven Kums,33,73,73,0,muture
Nahuel Guzmán,35,79,79,0,muture
Nicolas Feldhahn,34,60,60,0,muture
Miguel Luís Pinto Veloso,35,76,76,0,muture
Pedro Mosquera Parada,33,71,71,0,muture
Mario Gavranović,31,72,72,0,muture
Sam Vokes,31,68,68,0,muture
Rúben Tiago Rodrigues Ribeiro,33,72,72,0,muture
Orestis Karnezis,35,70,70,0,muture
Roberto Jiménez Gago,35,74,74,0,muture
Nathan Delfouneso,30,62,62,0,muture
Dan Gosling,31,70,70,0,muture
Massimo Coda,32,72,72,0,muture
Andrea Poli,31,75,75,0,muture
Corry Evans,30,64,64,0,muture
Siem de Jong,32,67,67,0,muture
Raúl Fdez-Cavada Mateos,33,69,69,0,muture
Albert Adomah,33,69,69,0,muture
Sean Morrison,30,71,71,0,muture
Ante Budimir,29,77,77,0,muture
Jason Steele,30,65,65,0,muture
Diego Farias da Silva,31,73,73,0,muture
Éder Macedo Lopes,33,73,73,0,muture
Mathis Bolly,30,65,65,0,muture
Laurens De Bock,28,66,66,0,muture
Sunil Chhetri,36,67,67,0,muture
Salman Al Faraj,31,75,75,0,muture
Takashi Usami,29,69,69,0,muture
Fabrice N'Sakala,30,70,70,0,muture
Hernán Barcos,37,71,71,0,muture
Romain Hamouma,34,73,73,0,muture
Oscar Jiménez,32,72,72,0,muture
Bram Nuytinck,31,74,74,0,muture
Maxime Gonalons,32,76,76,0,muture
Jaume Vicent Costa Jordá,33,77,77,0,muture
Nick Viergever,31,74,74,0,muture
Danny Ward,30,69,69,0,muture
David Amoo,30,62,62,0,muture
Conor McLaughlin,29,65,65,0,muture
José Pedro Fuenzalida,36,74,74,0,muture
Atiba Hutchinson,38,73,73,0,muture
Iván Cuéllar Sacristán,37,71,71,0,muture
Lucas Biglia,35,77,77,0,muture
Sebastian Larsson,36,72,72,0,muture
Steven Fletcher,34,69,69,0,muture
Jonathan dos Santos,31,75,75,0,muture
Jonas Lössl,32,71,71,0,muture
Francisco Casilla Cortés,34,74,74,0,muture
Federico Fazio,34,74,74,0,muture
Loïc Négo,30,71,71,0,muture
Junior Stanislas,31,72,72,0,muture
Vicente Iborra de la Fuente,33,79,79,0,muture
Francisco Femenía Far,30,74,74,0,muture
Håvard Nielsen,27,71,71,0,muture
Sandro R. G. Cordeiro,32,69,69,0,muture
Gökhan Töre,29,70,70,0,muture
Jed Steer,28,72,72,0,muture
Shane Duffy,29,74,74,0,muture
Sebastian Polter,30,71,71,0,muture
Víctor Laguardia Cisneros,31,78,78,0,muture
Aaron Mooy,30,77,77,0,muture
Tom Cairney,30,75,75,0,muture
Josuha Guilavogui,30,77,77,0,muture
Manuel Agudo Durán,34,75,75,0,muture
Ryan Allsop,29,69,69,0,muture
Benjamin Lecomte,30,79,79,0,muture
Rasmus Falk,29,75,75,0,muture
Mats Seuntjens,29,72,72,0,muture
Salvador José Milhazes Agra,29,71,71,0,muture
Esteban Andrada,30,79,79,0,muture
Jordan Lukaku,26,72,72,0,muture
Andy Yiadom,29,72,72,0,muture
Anastasios Bakasetas,28,77,77,0,muture
Mitchell Dijks,28,70,70,0,muture
Chris Maxwell,30,69,69,0,muture
Julian Jeanvier,28,70,70,0,muture
Ricardo Centurión,28,73,73,0,muture
Cédric Brunner,27,74,74,0,muture
Maximiliano Meza,28,77,77,0,muture
Simeon Tochukwu Nwankwo,29,71,71,0,muture
André Mikael Milazar Santoso,25,72,72,0,muture
Jesus Fabrício Andrade Simões,29,75,75,0,muture
Nicolás Evandro Filheiro Stein,25,76,76,0,muture
Duirval Hélton Diniz Cabral,25,75,75,0,muture
Elias Thiago Petri Taffarel,25,75,75,0,muture
Antônio Felipe Macedo Calegari,37,72,72,0,muture
David Jefferson Seijalbo Vaz,25,76,76,0,muture
Tiago Nathan Pombeira Gesser,21,70,70,0,muture
Marcos Alam Bastos Domingues,29,72,72,0,muture
Fábio Kel Melo Feijó,25,72,72,0,muture
José Emerson Mirazar Coelho,25,74,74,0,muture
Adilson Patrick Edrada Pereira,29,76,76,0,muture
Jessé Martin Ledeiro Serra,21,71,71,0,muture
Dênis Rubens Stein Rebelo,37,75,75,0,muture
Nicholas Júlio Aldair Leal,29,74,74,0,muture
Jonas Welson Orsi de Meneses,21,70,70,0,muture
Sinan Bakıs,27,66,66,0,muture
Endre Botka,26,72,72,0,muture
Ian González Nieto,28,68,68,0,muture
Josip Mišić,27,71,71,0,muture
Cristian Dell'Orco,26,68,68,0,muture
Juan Diego Rojas,28,67,67,0,muture
Marcel Hilßner,26,62,62,0,muture
Ahmet Arslan,27,66,66,0,muture
Dennis Widgren,27,64,64,0,muture
José Manuel Arnáiz Díaz,26,68,68,0,muture
Adriàn Dalmau Vaquer,27,66,66,0,muture
Konstantinos Mintikkis,31,60,60,0,muture
Darko Brašanac,29,75,75,0,muture
Carlos Antonio De Souza Junior,26,69,69,0,muture
Pascal Sohm,29,65,65,0,muture
Luke Leahy,28,67,67,0,muture
Adam Zreľák,27,65,65,0,muture
Merveille Biankadi,26,67,67,0,muture
Dumisani Zuma,26,70,70,0,muture
Jonathan Dos Santos,29,72,72,0,muture
Dixon Arroyo,29,68,68,0,muture
Gadi Kinda,27,69,69,0,muture
Łukasz Fabiański,36,82,82,0,muture
Christian Benteke,30,75,75,0,muture
Pascal Groß,30,77,77,0,muture
Norberto Murara Neto,31,81,81,0,muture
Tonny Vilhena,26,77,77,0,muture
Matteo Darmian,31,79,79,0,muture
Cheikhou Kouyaté,31,77,77,0,muture
Jonjo Shelvey,29,76,76,0,muture
Andy Delort,29,80,80,0,muture
Massadio Haïdara,28,74,74,0,muture
Karim Bellarabi,31,79,79,0,muture
Alberto Moreno Pérez,28,77,77,0,muture
Robin Olsen,31,75,75,0,muture
Matteo Politano,27,81,81,0,muture
Hamari Traoré,29,79,79,0,muture
Karl Toko Ekambi,28,78,78,0,muture
Nicolás Maná,27,70,70,0,muture
Christian Bernardi,31,74,74,0,muture
Manuel Cabit,28,61,61,0,muture
Giorgi Kvilitaia,27,73,73,0,muture
Martin Raynov,29,64,64,0,muture
Cristian Colmán,27,67,67,0,muture
Florin Niță,33,78,78,0,muture
Roberto Alarcón González,27,64,64,0,muture
Victor Wanyama,30,74,74,0,muture
Pedro Rodríguez Ledesma,33,78,78,0,muture
Thorgan Hazard,28,81,81,0,muture
Šime Vrsaljko,29,80,80,0,muture
William Silva de Carvalho,29,79,79,0,muture
Alexandre Moreno Lopera,28,80,80,0,muture
Javier Hernández,33,79,79,0,muture
Sergio Canales Madrazo,30,83,83,0,muture
Diego Rolán,28,72,72,0,muture
Ezequiel Ávila,27,79,79,0,muture
Mats Hummels,32,84,84,0,muture
Reinildo Isnard Mandava,27,77,77,0,muture
Nicolas Nkoulou,31,75,75,0,muture
Kostas Manolas,30,82,82,0,muture
Serge Aurier,28,79,79,0,muture
Thomas Meunier,29,78,78,0,muture
Nick Pope,29,81,81,0,muture
Mattia De Sciglio,28,77,77,0,muture
Romain Saïss,31,78,78,0,muture
Alfie May,27,67,67,0,muture
Daniel Akpeyi,35,74,74,0,muture
František Plach,29,70,70,0,muture
Gökhan Sazdağı,26,65,65,0,muture
Fahad Al Obaid,28,59,59,0,muture
Gaël Kakuta,30,76,76,0,muture
Mubarak Wakaso,30,71,71,0,muture
Bas Dost,32,76,76,0,muture
Danny Latza,31,72,72,0,muture
Fábio Pereira da Silva,30,72,72,0,muture
Craig Dawson,31,78,78,0,muture
Alfreð Finnbogason,32,73,73,0,muture
Kévin Malcuit,29,74,74,0,muture
Alejandro Fernández Iglesias,28,75,75,0,muture
Mark Uth,29,76,76,0,muture
Simone Zaza,30,74,74,0,muture
José Luís Mendes Andrade,30,77,77,0,muture
Jetro Willems,27,73,73,0,muture
Josh Murphy,26,69,69,0,muture
Terrence Boyd,30,69,69,0,muture
Viktor Claesson,29,76,76,0,muture
Munas Dabbur,29,76,76,0,muture
Jimmy Cabot,27,75,75,0,muture
Silvan Widmer,28,77,77,0,muture
Wendell Nascimento Borges,27,75,75,0,muture
Lourival Adnan Beretta Barbosa,29,81,81,0,muture
Marius Bülter,28,72,72,0,muture
Dairon Asprilla,29,67,67,0,muture
Martín Barragán,29,65,65,0,muture
Ambroise Oyongo,30,72,72,0,muture
Sean Klaiber,26,73,73,0,muture
Andrei Girotto,29,78,78,0,muture
Alexis Canelo,29,75,75,0,muture
Isaac Mbenza,25,70,70,0,muture
Everton Jorge Simão Resende,21,78,78,0,muture
Nuno Ailton Padrenda Mendes,25,77,77,0,muture
Michael Ngadeu,30,74,74,0,muture
Saeed Ahmed,27,62,62,0,muture
Ntsako Makhubela,27,64,64,0,muture
Darko Lemajić,27,65,65,0,muture
Cássio Gabriel Vilela Ferreira,28,63,63,0,muture
Aluísio Chaves Rib. Moraes Júnior,34,77,77,0,muture
Jim Allevinah,26,71,71,0,muture
Kodjo Fo-Doh Laba,29,75,75,0,muture
James Rodríguez,29,81,81,0,muture
Benjamin Bourigeaud,27,80,80,0,muture
Mesut Özil,32,78,78,0,muture
Danny Ings,28,80,80,0,muture
James Tarkowski,28,80,80,0,muture
Marvin Oswaldo Rangel Azevedo,29,81,81,0,muture
David De Gea Quintana,30,87,87,0,muture
Giovanni Di Lorenzo,27,81,81,0,muture
Jesús Navas González,35,84,84,0,muture
Hakan Çalhanoğlu,27,82,82,0,muture
Thiago Emiliano da Silva,36,86,86,0,muture
Marco Reus,32,85,85,0,muture
Otávio Edmilson da Silva Monteiro,26,82,82,0,muture
Alexis Sánchez,32,80,80,0,muture
Emiliano Martínez,28,84,84,0,muture
Ludwig Augustinsson,27,76,76,0,muture
Corentin Tolisso,26,80,80,0,muture
Henrikh Mkhitaryan,32,81,81,0,muture
Danny Drinkwater,31,68,68,0,muture
Serge Gnabry,25,85,85,0,muture
Lionel Messi,34,92,92,0,muture
Sadio Mané,29,89,89,0,muture
C. Ronaldo dos Santos Aveiro,36,91,91,0,muture
Héctor Herrera,31,81,81,0,muture
Fabio Quagliarella,38,77,77,0,muture
Jonny Evans,33,79,79,0,muture
Raúl García Escudero,34,80,80,0,muture
Lasse Schøne,35,74,74,0,muture
Luke Ayling,29,76,76,0,muture
José Paulo Bezerra M. Júnior,32,83,83,0,muture
Alex Teixeira dos Santos,31,76,76,0,muture
Tolgay Arslan,30,73,73,0,muture
Andreas Weimann,29,73,73,0,muture
Paulo Gazzaniga,29,75,75,0,muture
Nicolas López,27,77,77,0,muture
Guillermo Fernández,29,75,75,0,muture
Yannick Gerhardt,27,76,76,0,muture
Franco Armani,34,79,79,0,muture
Fabrizio Angileri,27,76,76,0,muture
Ayoze Pérez Gutiérrez,27,76,76,0,muture
Martin Dúbravka,32,79,79,0,muture
Josué Durval Chiamulera Vaz,29,82,82,0,muture
Bryan Acosta,27,70,70,0,muture
Stefan Mihajlovic,27,63,63,0,muture
Leonardo Benedito da Silva,28,62,62,0,muture
Florent Hanin,31,69,69,0,muture
Adriano Grimaldi,30,65,65,0,muture
Luka Tankulić,30,67,67,0,muture
Harry Beautyman,29,62,62,0,muture
Rafael Schuler Crivellaro,32,69,69,0,muture
Edemir Rodríguez,36,66,66,0,muture
José Luis Chávez,35,64,64,0,muture
Toto Nsiala,29,64,64,0,muture
Sören Bertram,30,64,64,0,muture
Yasser Al Mosailem,37,64,64,0,muture
Sam Morsy,29,68,68,0,muture
Eric Larsson,29,69,69,0,muture
George Williams,28,65,65,0,muture
Chuma Anene,28,59,59,0,muture
Greg Cunningham,30,69,69,0,muture
David Mateos Ramajo,34,67,67,0,muture
Jhonathan Ramis,31,64,64,0,muture
Steve Clark,35,72,72,0,muture
Stanislav Tecl,30,71,71,0,muture
Dean Zambra,32,54,54,0,muture
Shane McEleney,30,58,58,0,muture
Mark Connolly,29,63,63,0,muture
Aaron Greene,31,62,62,0,muture
Carlos Ruiz Aránega,37,68,68,0,muture
Nikola Đurđić,35,65,65,0,muture
José Antonio Madueña,31,67,67,0,muture
Nicolas Isimat-Mirin,29,69,69,0,muture
Haris Radetinac,35,64,64,0,muture
Ermir Lenjani,31,70,70,0,muture
Stjepan Kukuruzović,32,69,69,0,muture
Fabian Koch,32,68,68,0,muture
Harun Tekin,32,69,69,0,muture
Alexis Zapata,26,70,70,0,muture
César Pinares,30,71,71,0,muture
Alexi Gómez,28,63,63,0,muture
Sergio Vittor,32,73,73,0,muture
Pedro Miguel Pereira Silva,32,69,69,0,muture
Edwin Velasco,29,71,71,0,muture
Michael Heinloth,29,68,68,0,muture
David Wheeler,30,64,64,0,muture
Christian Mafla,28,67,67,0,muture
Claudio Aquino,29,71,71,0,muture
Cristian Cuevas,26,68,68,0,muture
Agustín Vuletich,29,65,65,0,muture
Lorenzo Gordinho,27,62,62,0,muture
Damien Dussaut,26,66,66,0,muture
Jimmy Medranda,27,69,69,0,muture
Felipe Avenatti,28,68,68,0,muture
Fabrício Santos de Jesus,29,69,69,0,muture
Iliass Bel Hassani,28,66,66,0,muture
Bongani Zungu,28,70,70,0,muture
Jamshid Iskanderov,27,62,62,0,muture
Ruben Herráiz Alcaraz,28,65,65,0,muture
Gastón Campi,30,68,68,0,muture
Federico Ricci,26,72,72,0,muture
Daniel Hernández,30,67,67,0,muture
Julian Von Haacke,27,63,63,0,muture
Alfredo Saldívar,31,66,66,0,muture
Jiloan Hamad,30,67,67,0,muture
Jorge Hernández,32,71,71,0,muture
Eoin Doyle,33,65,65,0,muture
Frédéric Sammaritano,35,64,64,0,muture
Bruno Ecuélé Manga,32,70,70,0,muture
Alessandro Tuia,31,68,68,0,muture
Volkan Babacan,32,71,71,0,muture
Michael Morrison,33,70,70,0,muture
Garath McCleary,34,68,68,0,muture
Jonathan Urretaviscaya,31,71,71,0,muture
Mads Albæk,31,67,67,0,muture
Tom Mickel,32,64,64,0,muture
Damián Díaz,35,76,76,0,muture
Daniel João Santos Candeias,33,72,72,0,muture
Zdeněk Ondrášek,32,67,67,0,muture
Tope Obadeyi,31,60,60,0,muture
Vito Wormgoor,32,69,69,0,muture
Vincent Manceau,31,73,73,0,muture
Scot Bennett,30,62,62,0,muture
Stoppila Sunzu,32,74,74,0,muture
Diego de Buen,29,73,73,0,muture
Joss Labadie,30,62,62,0,muture
Omar Gonzalez,32,65,65,0,muture
Tosaint Ricketts,33,61,61,0,muture
Kévin Théophile-Catherine,31,72,72,0,muture
John Boye,34,72,72,0,muture
Kian Hansen,32,68,68,0,muture
Mário Jorge Malico Paulino,34,71,71,0,muture
Patrick Mortensen,31,68,68,0,muture
Emil Salomonsson,32,69,69,0,muture
Mikael Dyrestam,29,65,65,0,muture
Fidel Martínez,31,73,73,0,muture
Christoph Menz,32,64,64,0,muture
Lucas Orbán,32,70,70,0,muture
Marco D'Alessandro,30,69,69,0,muture
Cristóbal Márquez Crespo,37,66,66,0,muture
Georgiy Schennikov,30,74,74,0,muture
Niklas Hult,31,71,71,0,muture
Mads Fenger,30,66,66,0,muture
Milton Caraglio,32,72,72,0,muture
Lennart Thy,29,68,68,0,muture
Nicolás Milesi,28,69,69,0,muture
Alam Cristian Lindeiro Couto,25,75,75,0,muture
Nildo Enaldo Reisão Dinis,25,73,73,0,muture
Paulo Bernard Daineiro Cruz,25,68,68,0,muture
Ever Jorge Rodeiro Selva,25,65,65,0,muture
Luis Caicedo,29,66,66,0,muture
Samuel Eduok,27,67,67,0,muture
Marcin Wasielewski,27,62,62,0,muture
Walterson Silva,26,69,69,0,muture
Christian Ramirez,30,70,70,0,muture
Paulo Vinícius Souza dos Santos,31,67,67,0,muture
Nicke Kabamba,28,62,62,0,muture
Volodymyr Kostevych,28,67,67,0,muture
Bartosz Kieliba,30,63,63,0,muture
Jianwen Wang,33,48,48,0,muture
Nicolae Mușat,34,63,63,0,muture
Amine Atouchi,29,66,66,0,muture
Soner Dikmen,27,66,66,0,muture
Alberto Espínola,30,70,70,0,muture
Sauvik Chakrabarti,29,53,53,0,muture
Valentino Yuel,26,62,62,0,muture
Jayesh Rane,28,55,55,0,muture
Seriton Fernandes,28,61,61,0,muture
Brandon Fernandes,26,60,60,0,muture
Ashutosh Mehta,30,59,59,0,muture
Pawan Kumar,31,53,53,0,muture
Redeem Tlang,26,54,54,0,muture
Pierre Bardy,28,68,68,0,muture
Henk Veerman,30,71,71,0,muture
Dylan Saint-Louis,26,68,68,0,muture
Cristian Guanca,28,74,74,0,muture
Jorge Marcos Pombo Escobar,27,69,69,0,muture
Ramiro Ballivián,29,68,68,0,muture
Joseph Amoah,27,66,66,0,muture
Mickaël Tirpan,27,68,68,0,muture
Christian Tabó,27,73,73,0,muture
Amilton Minervino da Silva,31,72,72,0,muture
Jorge Miramón,32,72,72,0,muture
João José Pereira da Costa,28,67,67,0,muture
Thorsten Mahrer,31,66,66,0,muture
Dino Mikanović,27,68,68,0,muture
Seon Min Moon,29,69,69,0,muture
Gary Gardner,29,68,68,0,muture
Fabián Rinaudo,34,74,74,0,muture
Rafael Cabral Barbosa,31,68,68,0,muture
Murray Davidson,33,63,63,0,muture
